"","label","text"
"1","ham","Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
"3","spam","Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's"
"5","ham","Nah I don't think he goes to usf, he lives around here though"
"6","spam","FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv"
"9","spam","WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only."
"10","spam","Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030"
"12","spam","SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
"13","spam","URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
"16","spam","XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
"20","spam","England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+"
"25","ham","Ffffffffff. Alright no way I can meet up with you sooner?"
"35","spam","Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged"
"36","ham","Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am"
"40","ham","Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!"
"43","spam","07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow"
"45","ham","Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches..."
"47","ham","Didn't you get hep b immunisation in nigeria."
"49","ham","Yeah hopefully, if tyler can't do it I could maybe ask around a bit"
"51","ham","What you thinked about me. First time you saw me in class."
"54","ham","Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."
"55","spam","SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV"
"56","ham","Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;"
"57","spam","Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!"
"58","ham","Sorry, I'll call later in meeting."
"60","ham","Yes..gauti and sehwag out of odi series."
"61","ham","Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me."
"64","ham","Sorry my roommates took forever, it ok if I come by now?"
"66","spam","As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589"
"68","spam","Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
"69","spam","Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!"
"71","ham","Wah lucky man... Then can save money... Hee..."
"85","ham","Yup next stop."
"86","ham","I call you later, don't have network. If urgnt, sms me."
"90","ham","Ela kano.,il download, come wen ur free.."
"91","ham","Yeah do! Don‘t stand to close tho- you‘ll catch something!"
"92","ham","Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry."
"94","spam","Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!"
"95","ham","Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?"
"96","spam","Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
"97","ham","Watching telugu movie..wat abt u?"
"100","ham","I see a cup of coffee animation"
"106","ham","Umma my life and vava umma love you lot dear"
"107","ham","Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable."
"112","ham","What is the plural of the noun research?"
"115","spam","GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm"
"118","spam","You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+)"
"121","spam","PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires"
"122","spam","URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM"
"123","ham","here is my new address -apples&pairs&all that malarky"
"124","spam","Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app"
"135","spam","Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone"
"136","spam","Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p"
"140","spam","You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again"
"143","ham","Sir, Waiting for your mail."
"145","ham","I know you are. Can you pls open the back?"
"148","spam","FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end"
"160","spam","Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery"
"161","spam","You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810"
"162","ham","Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life"
"165","spam","-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468"
"166","spam","BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu"
"167","ham","I place all ur points on e cultures module already."
"168","spam","URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only"
"170","ham","Great escape. I fancy the bridge but needs her lager. See you tomo"
"172","ham","Sir, I need AXIS BANK account no and bank address."
"173","ham","Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao..."
"174","ham","What time you coming down later?"
"175","ham","Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m..."
"182","ham","You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend"
"183","ham","Lol no. U can trust me."
"185","ham","He will, you guys close?"
"186","ham","Going on nothing great.bye"
"189","spam","Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!"
"191","ham","I jus reached home. I go bathe first. But my sis using net tell u when she finishes k..."
"192","spam","Are you unique enough? Find out from 30th August. www.areyouunique.co.uk"
"194","ham","Hi :)finally i completed the course:)"
"196","ham","How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day"
"198","ham","Did u got that persons story"
"199","ham","is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?"
"208","ham","As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
"211","ham","Both :) i shoot big loads so get ready!"
"215","ham","Yup... How ü noe leh..."
"216","ham","Sounds great! Are you home now?"
"218","ham","Tired. I haven't slept well the past few nights."
"224","ham","Sorry, I'll call later"
"226","spam","500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
"227","ham","Would really appreciate if you call me. Just need someone to talk to."
"228","spam","Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES"
"230","ham","Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . ."
"233","ham","Dear we are going to our rubber place"
"235","ham","Yes:)here tv is always available in work place.."
"236","spam","Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence"
"237","ham","I have printed it oh. So  &lt;#&gt;  come upstairs"
"238","ham","Or ill be a little closer like at the bus stop on the same street"
"240","ham","New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
"241","spam","U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597"
"251","spam","Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16"
"252","ham","Ranjith cal drpd Deeraj and deepak 5min hold"
"254","ham","What you doing?how are you?"
"255","ham","Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff."
"258","ham","Mmm so yummy babe ... Nice jolt to the suzy"
"260","spam","We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW"
"262","ham","Yup"
"263","ham","Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao."
"265","spam","Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698"
"269","spam","Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT"
"271","spam","Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge."
"274","spam","HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com"
"275","ham","Usf I guess, might as well take 1 car"
"277","ham","Thanx..."
"284","ham","Ok. I asked for money how far"
"285","ham","Okie..."
"292","ham","Hey you told your name to gautham ah?"
"294","ham","Oops. 4 got that bit."
"297","spam","T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply"
"300","ham","I cant pick the phone right now. Pls send a message"
"302","ham","Awesome, I remember the last time we got somebody high for the first time with diesel :V"
"303","ham","Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?"
"306","spam","SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE"
"310","spam","TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468"
"313","spam","Think ur smart ? Win £200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week"
"316","ham","You made my day. Do have a great day too."
"317","ham","K.k:)advance happy pongal."
"320","spam","December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906"
"324","ham","cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x"
"325","ham","That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week"
"327","ham","No calls..messages..missed calls"
"334","spam","Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!"
"336","spam","Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201."
"337","ham","Ta-Daaaaa! I am home babe, are you still up ?"
"340","ham","Sorry, I'll call later"
"341","ham","U calling me right? Call my hand phone..."
"344","ham","Where u been hiding stranger?"
"349","ham","One small prestige problem now."
"350","spam","Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X"
"354","ham","TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
"355","ham","Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed"
"358","spam","Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16"
"359","spam","Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL"
"364","ham","Check audrey's status right now"
"367","ham","Well i know Z will take care of me. So no worries."
"368","spam","Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q="
"369","spam","Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546"
"371","ham","Cool, text me when you're ready"
"373","ham","I will spoil you in bed as well :)"
"374","ham","I'm going for bath will msg you next  &lt;#&gt;  min.."
"376","spam","Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994"
